"college","city","state","region","locale","lat","long","school_type","adm_rate","adm_rate_all","avg_net_pub","avg_net_priv","avg_cost","avg_tuition","population","avg_fam_inc","md_fam_inc","pct_loan","pct_pell","md_debt","md_earnings_10","pct_25k","default_rate","repay_rate","comp_deg","eng_deg","engtech_deg","math_deg","sci_deg"
"Alabama A & M University","Normal","AL",5,"12","34.783368","-86.568502","1","0.5256","0.52560347439652","15229","NULL",21475,9427,"4206","30235.73401","21595.33186","0.8284","0.7356",33888,30300,0.61,0.172,"0.4104569782",0.0275,0.1081,0.0339,0.0169,0.0127
"University of Alabama at Birmingham","Birmingham","AL",5,"12","33.50223","-86.80917","1","0.8569","0.85691768826619","14789","NULL",20621,9899,"11383","49731.07607","34491.4012","0.5214","0.346",21941.5,39700,0.739,0.062,"0.6581828134",0.015,0.0577,0,0.0102,0.0204
"Amridge University","Montgomery","AL",5,"12","32.362609","-86.17401","2","NULL","NULL","NULL","12992",16370,12459,"291","19862.04352","15191.78276","0.7795","0.6801",23370,40100,0.73,0.122,"0.5333333333",0,0,0,0,0
"University of Alabama in Huntsville","Huntsville","AL",5,"12","34.722818","-86.63842","1","0.8203","0.82034220532319","18596","NULL",21107,8956,"5451","52681.57006","36239.77182","0.4596","0.3072",24097,45500,0.765,0.061,"0.646234676",0.0271,0.2624,0,0.014,0.0261
"Alabama State University","Montgomery","AL",5,"12","32.364317","-86.295677","1","0.5326","0.53264694382901","11110","NULL",18184,7733,"4811","29758.63871","21737.27737","0.7554","0.7347",33118.5,26600,0.531,0.156,"0.3543673198",0.0813,0,0,0.017,0.0359
"The University of Alabama","Tuscaloosa","AL",5,"13","33.2144","-87.545766","1","0.5105","0.51046359971543","20787","NULL",26400,12791,"29851","88316.01753","63166.00672","0.401","0.204",23750,41900,0.783,0.063,"0.7083839611",0.007,0.0771,0,0.0065,0.0111
"Athens State University","Athens","AL",5,"31","34.805625","-86.96514","1","NULL","NULL","NULL","NULL",NA,5476,"2991","39822.65557","29270.71273","0.6296","0.4088",18595,39000,0.754,0.086,"0.6227272727",0.0288,0,0,0.0192,0.0024
"Auburn University at Montgomery","Montgomery","AL",5,"12","32.369939","-86.177351","1","0.8017","0.80169571361281","13431","NULL",17903,8071,"4304","38442.71035","25555.25053","0.5803","0.4192",21335,35000,0.672,0.106,"0.5749486653",0,0,0,0.0066,0.0231
"Auburn University","Auburn","AL",5,"13","32.604685","-85.482782","1","0.8347","0.83465031253685","18644","NULL",25282,14135,"20514","88069.56908","66831.18872","0.3494","0.161",21831,45700,0.813,0.045,"0.8274472624",0.006,0.1637,0,0.0089,0.0123
"Birmingham Southern College","Birmingham","AL",5,"12","33.515453","-86.853636","2","0.5339","0.53393501805054","NULL","18728",45162,10266,"1180","92909.32901","70831.32582","0.4809","0.192",27000,44200,0.777,0.044,"0.8301158301",0,0.0135,0,0.0269,0.0269
"Concordia College Alabama","Selma","AL",5,"32","32.42443","-87.023531","2","0.5328","0.53284671532846","NULL","12329",17603,5768,"322","18578.48151","15246.5518","0.9333","0.8667",NA,19900,0.382,0.315,"NULL",0,0,0,0,0
"Faulkner University","Montgomery","AL",5,"12","32.384181","-86.21641","2","NULL","NULL","NULL","20240",30116,11127,"2367","36585.55437","23765.73465","0.7253","0.5812",22000,37200,0.702,0.1,"0.5274166196",0.0077,0,0,0.0058,0
"Huntingdon College","Montgomery","AL",5,"12","32.350939","-86.285313","2","0.5839","0.58385525400139","NULL","19040",32370,10131,"1149","59138.77188","39106.44326","0.7153","0.3982",26230,36500,0.694,0.102,"0.6951871658",0,0,0,0.0212,0.0085
"Jacksonville State University","Jacksonville","AL",5,"13","33.822128","-85.766644","1","0.8326","0.83260357022566","17974","NULL",20830,6447,"7060","46047.12254","35079.88325","0.6825","0.4428",23000,34600,0.667,0.096,"0.5953599454",0.0138,0,0.023,0.0123,0.0054
"Judson College","Marion","AL",5,"43","32.630526","-87.316127","2","0.6525","0.65254237288135","NULL","11592",28840,8101,"376","28850.14445","15917.22058","0.7205","0.4784",NA,29300,0.622,0.132,"0.5914634146",0,0,0,0,0.0667
"University of West Alabama","Livingston","AL",5,"43","32.59244","-88.186077","1","0.7199","0.71992110453648","13092","NULL",17839,7928,"1916","37021.76669","23965.51911","0.6733","0.5323",24253,33900,0.659,0.078,"0.545034642",0,0,0.0412,0.03,0.0225
"Miles College","Fairfield","AL",5,"21","33.481306","-86.908605","2","NULL","NULL","NULL","16694",22436,5202,"1778","23942.953","16820.1215","0.9244","0.8452",36789.5,25700,0.515,0.168,"0.2512212142",0.0859,0,0,0.0152,0.0051
"University of Mobile","Mobile","AL",5,"41","30.793247","-88.128934","2","0.5847","0.58473736372646","NULL","19017",31220,9947,"1460","51787.87892","39066.95932","0.7576","0.4909",27000,35000,0.676,0.062,"0.6051612903",0.01,0,0,0.0166,0
"University of Montevallo","Montevallo","AL",5,"21","33.10625","-86.865099","1","0.743","0.74299835255354","16877","NULL",22440,7568,"2644","53705.57934","39228.5774","0.5856","0.3972",23266,34900,0.681,0.103,"0.7058823529",0,0,0,0.0214,0.0036
"University of North Alabama","Florence","AL",5,"13","34.80658","-87.680999","1","0.6788","0.67884267631103","11294","NULL",15494,6702,"5485","50764.13203","37593.96863","0.6733","0.4051",21500,36100,0.703,0.111,"0.6815459989",0.0106,0,0,0.0029,0.0203
"Oakwood University","Huntsville","AL",5,"12","34.756628","-86.661628","2","0.4787","0.47865275142315","NULL","24992",36064,11693,"1878","51008.51066","36828.91843","0.7271","0.5062",27250,33900,0.642,0.125,"0.453125",0.0311,0,0,0.0093,0
"Samford University","Birmingham","AL",5,"21","33.464578","-86.790932","2","0.5954","0.59536814507319","NULL","26733",40900,18352,"3033","96315.59549","74745.35603","0.3385","0.1391",23000,45800,0.814,0.007,"0.8517940718",0.0143,0.0064,0,0.0064,0.0016
"University of South Alabama","Mobile","AL",5,"12","30.695081","-88.18189","1","0.8335","0.8334858188472","14327","NULL",18525,7295,"11267","49146.77516","33990.23827","0.5729","0.3906",24711,37300,0.701,0.075,"0.592512599",0.028,0.0714,0,0.004,0.022
"Spring Hill College","Mobile","AL",5,"12","30.694751","-88.138199","2","0.5177","0.51769415532425","NULL","19713",44970,12082,"1215","73448.23686","52147.16734","0.6873","0.2307",27000,42800,0.795,0.066,"0.7022727273",0,0.0041,0,0.0166,0.0041
"Stillman College","Tuscaloosa","AL",5,"13","33.199228","-87.585242","2","0.5901","0.59009532666821","NULL","17002",26185,21345,"1056","28899.89656","19877.5331","0.8992","0.8436",38218,25700,0.507,0.187,"0.3681506849",0,0,0,0.0088,0
"Talladega College","Talladega","AL",5,"32","33.434258","-86.113675","2","NULL","NULL","NULL","12629",20918,18039,"819","22353.29105","16495.05322","0.5956","0.5747",27745,25100,0.497,0.281,"0.3861386139",0.0494,0,0,0,0
"Troy University","Troy","AL",5,"41","31.800128","-85.950191","1","0.4414","0.4414457070707","11907","NULL",17354,8632,"15025","38291.03492","25763.31458","0.6521","0.4537",25000,35600,0.683,0.114,"0.5114369501",0.0418,0,0.001,0.0097,0.0035
"Tuskegee University","Tuskegee","AL",5,"32","32.431021","-85.710315","2","0.4922","0.49219800914716","NULL","29242",32853,14104,"2588","48713.60444","33037.68849","0.7639","0.63",33500,36800,0.699,0.128,"0.5604395604",0.0183,0.159,0,0.0122,0.0092
"University of Alaska Anchorage","Anchorage","AK",8,"11","61.189554","-149.826135","1","NULL","NULL","8661","NULL",13610,5843,"12865","44911.58487","30254.86211","0.2647","0.2385",19449.5,42500,0.718,0.124,"0.7150074294",0.0199,0.0381,0.0575,0.0066,0.0111
"University of Alaska Fairbanks","Fairbanks","AK",8,"23","64.856483","-147.822943","1","NULL","NULL","9188","NULL",15340,6491,"5536","46691.45487","32147.67596","0.255","0.2263",19355,36200,0.678,0.125,"0.687804878",0.0089,0.0837,0.0346,0.0072,0.0193
"Alaska Pacific University","Anchorage","AK",8,"11","61.191235","-149.804242","2","0.4207","0.42073170731707","NULL","25616",42640,13383,"275","61261.55225","48957.62318","0.5297","0.3152",23250,47000,0.775,0.077,"0.7258883249",0,0,0,0,0.0366
"Arizona State University-Tempe","Tempe","AZ",6,"12","33.422247","-111.934629","1","0.8433","0.78443051201671","10858","NULL",22312,12460,"39316","57456.42977","37288.81365","0.4527","0.3192",20229,45100,0.797,0.073,"0.7102238355",0.0314,0.0774,3e-04,0.0139,0.0108
"University of Arizona","Tucson","AZ",6,"11","32.232071","-110.950769","1","0.7462","0.74617241695443","15215","NULL",24617,12441,"32646","69118.07373","42731.98058","0.4055","0.3349",19000,44000,0.783,0.06,"0.7952465309",0.0187,0.0598,0.0061,0.0116,0.0251
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",6,"41","34.615678","-112.452285","2","0.8016","0.74323927101704","NULL","30002",46174,26607,"1971","54509.31343","36403.0875","0.5189","0.2501",24411,61500,0.888,0.034,"0.8045726728",0,0.2938,0,0,0.0406
"Grand Canyon University","Phoenix","AZ",6,"11","33.512172","-112.129917","3","0.5757","0.57566629011338","NULL","28039",30945,10550,"38905","41630.26758","26737.37249","0.6189","0.5055",18750,44500,0.751,0.103,"0.5879732739",0,0,0,0,0
"Northern Arizona University","Flagstaff","AZ",6,"13","35.180095","-111.657653","1","0.8099","0.80994976502997","13683","NULL",22561,7331,"23189","58173.10799","40285.06598","0.5376","0.3662",20500,39100,0.758,0.073,"0.6736043571",0.005,0.0376,0,0.0057,0.0183
"Ottawa University-Phoenix","Phoenix","AZ",6,"11","33.57172","-112.113301","2","NULL","0.99473684210526","NULL","NULL",NA,6371,"345","45011.51835","32981.96701","0.6203","0.5246",22000,40300,0.772,0.076,"0.6781609195",0.0054,0,0,0.0108,0
"Prescott College","Prescott","AZ",6,"13","34.5445","-112.476509","2","0.6873","0.68725868725868","NULL","24851",41256,17501,"454","49942.71465","25048.479","0.6073","0.455",24398.5,33300,0.655,0.07,"0.7191489362",0,0,0,0,0.0065
"Arizona Christian University","Phoenix","AZ",6,"11","33.595117","-112.026211","2","0.5673","0.56727272727272","NULL","27514",33945,9345,"620","60424.69638","46534.38378","0.463","0.3039",22500,33500,0.622,0.059,"0.6826923077",0,0,0,0,0
"University of Arkansas at Little Rock","Little Rock","AR",5,"12","34.726644","-92.341835","1","0.5928","0.59280411193603","13619","NULL",22521,6640,"7942","36037.93076","24962.57042","0.4775","0.3941",21736,33900,0.677,0.086,"0.5110161871",0.0179,0.0161,0.0375,0.0089,0.0191
"Lyon College","Batesville","AR",5,"33","35.778934","-91.628115","2","0.6142","0.61424180327868","NULL","13652",33605,9009,"690","60515.34345","47861.85311","0.674","0.4578",25000,38600,0.754,0.064,"0.7684729064",0.028,0,0,0.0374,0.028
"University of Arkansas","Fayetteville","AR",5,"13","36.06153","-94.178214","1","0.6204","0.62036451748841","14143","NULL",20350,7143,"21405","78318.57088","55719.45039","0.4026","0.2359",21500,43400,0.773,0.063,"0.7756264237",0.0113,0.096,0,0.0067,0.0333
"University of Arkansas at Pine Bluff","Pine Bluff","AR",5,"13","34.242192","-92.021263","1","0.3868","0.38683010262257","8134","NULL",15409,2164,"2391","26886.38803","20653.79061","0.7422","0.7231",27728.5,27200,0.548,0.247,"0.3831553974",0.0233,0,0.0909,0.0023,0.0117
"Arkansas State University-Main Campus","Jonesboro","AR",5,"13","35.842779","-90.680478","1","0.7239","0.72394809280377","11752","NULL",19359,3633,"9139","43001.74098","30405.76065","0.5342","0.4522",19250,31700,0.631,0.102,"0.6219094713",0.0108,0.0135,0.0099,0.0059,0.0153
"Arkansas Tech University","Russellville","AR",5,"33","35.295227","-93.13233","1","0.8626","0.86256607400288","10205","NULL",16518,3668,"8845","39233.99579","28416.82634","0.4517","0.4447",17480,33800,0.658,0.171,"0.6339969372",0.0173,0.0282,0.0183,0.0064,0.0109
"University of Central Arkansas","Conway","AR",5,"13","35.078196","-92.45931","1","0.9426","0.94263565891472","11087","NULL",18354,4697,"9232","48677.13791","33571.73201","0.5125","0.4101",21500,36500,0.713,0.091,"0.6531307309",0.0155,0,0,0.0162,0.0201
"Central Baptist College","Conway","AR",5,"13","35.084574","-92.444102","2","0.5697","0.56967213114754","NULL","12237",21616,8783,"788","52127.42993","36838.81499","0.5913","0.4426",21500,31300,0.618,0.109,"0.6044444444",0,0,0,0,0
"Harding University","Searcy","AR",5,"32","35.249605","-91.729008","2","0.9912","0.99118554429264","NULL","24580",26484,12463,"4485","79127.4518","66148.59722","0.5526","0.2663",26077,38000,0.724,0.031,"0.8067504964",0.0441,0.0325,0,0.0081,0.007
"Henderson State University","Arkadelphia","AR",5,"32","34.127792","-93.060313","1","0.6278","0.62783534024082","9716","NULL",18679,3067,"3226","40294.93735","28850.38764","0.5964","0.5408",19586,34500,0.702,0.149,"0.5956580733",0.0099,0.0059,0,0.0079,0.0238
"Hendrix College","Conway","AR",5,"13","35.09972","-92.442021","2","0.8282","0.82822822822822","NULL","23563",52536,11902,"1322","101616.3786","82164.11154","0.4703","0.1861",25500,40500,0.805,0.048,"0.8761904762",0.0248,0,0,0.0124,0.0681
"John Brown University","Siloam Springs","AR",5,"32","36.191077","-94.559088","2","0.6978","0.6977518734388","NULL","19034",34776,10593,"1742","58963.73273","47717.37831","0.5067","0.3053",23211,46700,0.808,0.031,"0.8587641866",0,0.0566,0.0065,0.0065,0.0109
"Ouachita Baptist University","Arkadelphia","AR",5,"32","34.125045","-93.052442","2","0.7061","0.70612009237875","NULL","18488",32560,10798,"1455","76813.01254","62539.77972","0.5431","0.289",23250,37400,0.701,0.068,"0.8123569794",0.0085,0,0,0.0169,0.0113
